Date,Open,High,Low,Close,Adj Close,Volume
9/14/2018,156.990005,158.895004,153.563004,154.770004,154.770004,1247000
9/17/2018,157.919998,159.429993,153.449997,153.630005,153.630005,1654200
9/18/2018,154.5,164.199997,154.5,162.279999,162.279999,1706600
9/19/2018,164,166.5,161.514999,164.600006,164.600006,1637800
9/20/2018,165.380005,168.949997,164.5,167.169998,167.169998,1378300
9/21/2018,166.699997,168.160004,160.610001,161.520004,161.520004,2146400
9/24/2018,159.559998,165.330002,157.399994,162.179993,162.179993,892600
9/25/2018,163.369995,165.139999,159,161.110001,161.110001,1579800
9/26/2018,162.520004,164.800003,159.880005,162,162,860500
9/27/2018,162.259995,164.710007,162.020004,164.449997,164.449997,604300
9/28/2018,164.190002,167.789993,163.059998,164.460007,164.460007,789400
10/1/2018,166.440002,166.860001,162.509995,163.419998,163.419998,868400
10/2/2018,162.460007,164,155.970001,156.600006,156.600006,1566500
10/3/2018,157.509995,162.360001,157.190002,160.199997,160.199997,909500
10/4/2018,159.479996,160.199005,147.800003,148.910004,148.910004,1929900
10/5/2018,149.089996,151.410004,141.070007,145.600006,145.600006,1691300
10/8/2018,143.220001,145.531998,138.089996,140.490005,140.490005,1242000
10/9/2018,140.399994,143.179993,138.755005,140.220001,140.220001,1055500
10/10/2018,139.639999,139.951004,128.009995,130.100006,130.100006,2686300
10/11/2018,126.690002,133.979996,126.68,128.389999,128.389999,2070300
10/12/2018,135.160004,136.970001,130.25,135.199997,135.199997,2034600
10/15/2018,134.990005,137,132.089996,135.699997,135.699997,1114200
10/16/2018,138.679993,146.070007,138.410004,145.830002,145.830002,1391100
10/17/2018,146,146.5,133.869995,137.369995,137.369995,3149000
10/18/2018,136.779999,140.139999,133.559998,134.779999,134.779999,1593000
10/19/2018,135.679993,137.380997,126.199997,127.07,127.07,2229600
10/22/2018,128.389999,135.589996,125.642998,134.369995,134.369995,2356200
10/23/2018,128.339996,133.199997,126.709999,132.160004,132.160004,2366900
10/24/2018,133.115005,134.600006,122.050003,122.269997,122.269997,2315200
10/25/2018,131.360001,138.339996,128.5,136.990005,136.990005,4484700
10/26/2018,129.610001,138.339996,128.449997,132.949997,132.949997,2830900
10/29/2018,136.830002,137.679993,125.080002,128.5,128.5,2156100
10/30/2018,125.349998,132.360001,122.800003,129.139999,129.139999,3029100
10/31/2018,132.5,138.649994,130.529999,138.149994,138.149994,2118800
11/1/2018,138.770004,145.089996,135.669998,144.350006,144.350006,1796500
11/2/2018,144.350006,148.919998,142.259995,145.550003,145.550003,1947600
11/5/2018,143.949997,145,139.759995,141.029999,141.029999,1222500
11/6/2018,141.779999,143.809998,139,140.929993,140.929993,831900
